id;nom_lieu_dit;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;source_position;source_nom_voie
74236_C128;La Tête du Truz;74170;74236;Saint-Gervais-les-Bains;;;988135.66;6535663.21;6.714919;45.859615;bal;bal
74236_jsfhux;La Teurnaz;74170;74236;Saint-Gervais-les-Bains;;;985370.31;6538679.67;6.681129;45.887914;bal;bal
74236_emavtx;La Toile;74170;74236;Saint-Gervais-les-Bains;;;988157.41;6538397.21;6.716857;45.884198;bal;bal
74236_4ebd54;La Tour;74170;74236;Saint-Gervais-les-Bains;;;987221.71;6538639.59;6.704952;45.886774;bal;bal
74236_B452;La Turche Derrière;74170;74236;Saint-Gervais-les-Bains;;;991156.06;6534860.61;6.753311;45.85111;bal;bal
74236_B453;La Turche-Devant;74170;74236;Saint-Gervais-les-Bains;;;991877.18;6534753.21;6.762527;45.849835;bal;bal
74236_ylt93u;La Venaz;74170;74236;Saint-Gervais-les-Bains;;;984947.12;6536403.96;6.674313;45.867621;bal;bal
74236_xy09mu;La Venaz;74170;74236;Saint-Gervais-les-Bains;;;985122.43;6536605.12;6.676691;45.869357;bal;bal
74236_06heed;La Venaz Dessous;74170;74236;Saint-Gervais-les-Bains;;;985118.93;6537170.14;6.676985;45.874441;bal;bal
74236_B459;La Venaz Devant;74170;74236;Saint-Gervais-les-Bains;;;985059.61;6536809.97;6.676005;45.871226;bal;bal
74236_8mh07c;La Vignette;74170;74236;Saint-Gervais-les-Bains;;;987899.01;6539497.67;6.714196;45.894206;bal;bal
74236_B471;La Villette d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;989521.78;6534745.85;6.732205;45.850775;bal;bal
74236_B472;La Villette Derrière;74170;74236;Saint-Gervais-les-Bains;;;989580.81;6535104.06;6.733183;45.853972;bal;bal
74236_B473;La Villette Devant;74170;74236;Saint-Gervais-les-Bains;;;989700.85;6534790.23;6.734537;45.851098;bal;bal
